 ----------------------header-------------------------- 2018-08-07 16:48:52,030 [9] INFO  loginfo - 文件接收工具启动
2018-08-07 16:48:55,448 [14] INFO  loginfo - 收到数据文件
 ----------------------header-------------------------- 2018-08-07 16:49:56,311 [9] INFO  loginfo - 文件接收工具启动
 ----------------------header-------------------------- 2018-08-07 16:56:31,985 [10] INFO  loginfo - 文件接收工具启动
2018-08-07 16:57:42,147 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:42,167 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:42,217 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:42,277 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:42,337 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:42,387 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:42,447 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:42,507 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:42,557 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:42,617 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:42,667 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:42,727 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:42,777 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:42,837 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:42,897 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:42,947 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:43,007 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:43,057 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:43,117 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:43,177 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:43,227 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:43,287 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:43,347 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:43,407 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:43,457 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:43,517 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:43,567 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:43,627 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:43,677 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:43,737 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:43,797 [15] INFO  loginfo - 收到数据文件
